# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=036 t= 1.800s reward=+0.613633 done=0 raw_action=[-0.020155, -0.196644, -0.721094, -0.593716, +1.000000, +0.515082, -1.000000, +0.350710, -1.000000, +0.115970, -0.807358, -0.476403, -0.627641, -0.338261, +0.204355, -0.094914, +0.556680, -1.000000, -0.533124, -0.847986, +0.212041]
frame=037 t= 1.850s reward=+1.058620 done=0 raw_action=[-0.550578, -0.448135, -1.000000, -1.000000, +1.000000, +0.914438, -1.000000, +0.297219, -1.000000, +1.000000, -0.024080, -0.779132, +0.434342, +0.095763, -0.454620, +0.031549, -0.331046, -0.814584, -0.451552, -0.745764, +0.706802]
frame=038 t= 1.900s reward=+1.091998 done=0 raw_action=[+0.062465, +0.084851, -1.000000, -1.000000, +1.000000, +1.000000, -1.000000, -0.791277, -1.000000, +1.000000, +0.560066, +0.028517, +0.492905, -0.240351, +0.148239, -0.608574, -0.601357, -0.705377, -0.420040, +0.265894, +1.000000]
frame=039 t= 1.950s reward=+1.027021 done=0 raw_action=[+0.249558, +0.364033, -1.000000, -1.000000, +1.000000, +1.000000, -1.000000, -0.963927, -0.796042, +1.000000, +0.681091, +0.272089, +0.339110, +0.028179, -0.138876, -1.000000, -0.452905, -0.001246, -0.584311, +0.383245, +0.981034]
frame=040 t= 2.000s reward=+0.520004 done=0 raw_action=[-0.283671, +0.062238, -1.000000, -0.973645, +1.000000, +0.577709, -1.000000, -0.822707, -0.294769, +1.000000, +0.280595, +0.402760, +0.426009, -0.164679, -0.715741, -0.848553, +0.293467, +0.667576, -0.682468, +0.535360, -0.630737]
frame=041 t= 2.050s reward=+0.371133 done=0 raw_action=[+0.213580, -0.259842, -1.000000, -0.893048, +1.000000, +0.593293, -0.356774, -1.000000, -0.254211, +1.000000, -0.448980, +0.357898, +0.083407, -0.305252, -0.799971, -1.000000, +0.624525, +0.601734, -0.098166, +1.000000, -0.566859]
frame=042 t= 2.100s reward=+1.106967 done=0 raw_action=[-0.842278, +0.231000, -1.000000, -0.288845, +1.000000, +0.085617, +1.000000, -1.000000, +0.550222, +1.000000, -1.000000, +0.361612, -0.290065, +0.941542, -1.000000, -1.000000, +1.000000, +0.836854, +0.844788, +1.000000, -0.414201]
frame=043 t= 2.150s reward=+1.113926 done=0 raw_action=[-0.290076, +0.454546, +0.047159, +0.706419, +0.814506, -0.298355, +1.000000, -1.000000, -0.454177, +0.956742, -1.000000, +0.480789, -0.574320, +0.936262, -0.708348, -1.000000, +0.084866, +0.137131, +1.000000, +0.272105, +0.033659]
frame=044 t= 2.200s reward=+1.127883 done=0 raw_action=[-0.213134, -0.318529, +1.000000, +0.723533, +0.473596, +0.242374, +1.000000, -0.010549, -0.144361, +0.976452, -0.881793, +0.690487, -0.373682, +1.000000, -0.136827, -0.373560, -0.556742, +0.550136, +1.000000, -0.782375, -0.343199]
frame=045 t= 2.250s reward=+1.117547 done=0 raw_action=[-0.012799, -0.248297, +1.000000, -0.177970, +0.677540, +0.215909, +1.000000, +0.622081, +0.654239, +1.000000, -0.234421, +0.705414, -0.547749, +0.727723, +0.074781, +0.571728, -0.461673, +0.121917, +1.000000, -0.570372, -0.003043]
