# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=065 t= 3.250s reward=+0.950602 done=0 target=[+0.187015, -0.131045, -0.043757, -0.215093, +1.727910, +1.323675, +1.041110, +1.038455, +0.896434, +0.999842, +0.345590, +0.555932, +0.410589, +0.275203, +0.341015, +0.000000, +0.160342, +0.146295, +0.087942, +0.481121, +0.225591]
frame=066 t= 3.300s reward=+1.125818 done=0 target=[+0.175721, -0.157094, -0.002091, -0.173426, +1.727910, +1.318313, +1.082777, +1.037869, +0.863342, +1.041509, +0.309896, +0.590798, +0.408653, +0.314861, +0.353521, +0.004209, +0.118675, +0.155394, +0.129609, +0.439455, +0.206861]
frame=067 t= 3.350s reward=+1.028885 done=0 target=[+0.173895, -0.175458, +0.039576, -0.183922, +1.727910, +1.327932, +1.124444, +1.047497, +0.905009, +1.083176, +0.300868, +0.617558, +0.386386, +0.351298, +0.349146, +0.026307, +0.082452, +0.165850, +0.171276, +0.417013, +0.179154]
frame=068 t= 3.400s reward=+0.978710 done=0 target=[+0.181054, -0.185375, +0.081243, -0.208074, +1.727910, +1.323689, +1.166110, +1.069928, +0.946675, +1.105397, +0.298430, +0.642243, +0.370377, +0.359799, +0.365379, +0.061676, +0.071391, +0.167127, +0.174803, +0.384197, +0.152764]
frame=069 t= 3.450s reward=+1.008330 done=0 target=[+0.182977, -0.156938, +0.110585, -0.228865, +1.727910, +1.330333, +1.207777, +1.076060, +0.974149, +1.110771, +0.292359, +0.650279, +0.369224, +0.370090, +0.367436, +0.069083, +0.058350, +0.176521, +0.183066, +0.375952, +0.156315]
frame=070 t= 3.500s reward=-1.714792 done=0 target=[+0.188567, -0.122092, +0.126689, -0.235620, +1.727910, +1.335150, +1.249443, +1.085080, +0.976759, +1.069104, +0.320981, +0.640164, +0.356358, +0.376462, +0.378106, +0.074457, +0.047629, +0.187558, +0.171375, +0.379913, +0.151276]
frame=071 t= 3.550s reward=+1.149122 done=0 target=[+0.161206, -0.088558, +0.085022, -0.235620, +1.727910, +1.293483, +1.291110, +1.095919, +0.988102, +1.053683, +0.304284, +0.617774, +0.351173, +0.410930, +0.382251, +0.085768, +0.053117, +0.155825, +0.190162, +0.360537, +0.165423]
frame=072 t= 3.600s reward=+1.137838 done=0 target=[+0.187289, -0.057961, +0.052850, -0.235620, +1.727910, +1.301326, +1.305696, +1.093560, +0.975416, +1.012016, +0.345951, +0.589003, +0.338083, +0.413321, +0.413634, +0.109027, +0.011451, +0.133643, +0.195902, +0.357391, +0.172545]
frame=073 t= 3.650s reward=+1.153377 done=0 target=[+0.185730, -0.037186, +0.072146, -0.235620, +1.727910, +1.294836, +1.284524, +1.135226, +0.986593, +0.970350, +0.387618, +0.568180, +0.343350, +0.410721, +0.448604, +0.141394, +0.000000, +0.145790, +0.198849, +0.353506, +0.190484]
frame=074 t= 3.700s reward=+0.999990 done=0 target=[+0.212306, -0.001986, +0.094896, -0.235620, +1.727910, +1.253169, +1.294726, +1.148557, +0.988765, +0.928683, +0.429284, +0.537983, +0.345282, +0.374364, +0.474648, +0.137633, +0.000000, +0.119043, +0.197898, +0.365435, +0.202642]
