# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=036 t= 1.800s reward=+0.173576 done=0 jointpos=[+0.261800, -0.175783, +0.217249, -0.046678, +1.724771, +1.212221, +1.164236, +0.995839, +0.932116, +0.892195, +0.235047, +0.568275, +0.218797, +0.242875, +0.356604, +0.117790, +0.068546, +0.072373, +0.093187, +0.282679, +0.159197]
frame=037 t= 1.850s reward=+0.533496 done=0 jointpos=[+0.261782, -0.186524, +0.206935, -0.080563, +1.724761, +1.219197, +1.095160, +0.995765, +0.948104, +0.892211, +0.231041, +0.523184, +0.238852, +0.246710, +0.351728, +0.122274, +0.051500, +0.060236, +0.083482, +0.265650, +0.172123]
frame=038 t= 1.900s reward=+1.029615 done=0 jointpos=[+0.261770, -0.187944, +0.180759, -0.127347, +1.724917, +1.216034, +1.035083, +0.968401, +0.952651, +0.892275, +0.268841, +0.495959, +0.294736, +0.254609, +0.342737, +0.103260, +0.024015, +0.032347, +0.068892, +0.266757, +0.213160]
frame=039 t= 1.950s reward=+0.649912 done=0 jointpos=[+0.261800, -0.172854, +0.137120, -0.172939, +1.726262, +1.227473, +0.995957, +0.927512, +0.950506, +0.892901, +0.317898, +0.508968, +0.354653, +0.255706, +0.336462, +0.061778, +0.007353, +0.028345, +0.042880, +0.278209, +0.246741]
frame=040 t= 2.000s reward=-0.090450 done=0 jointpos=[+0.259671, -0.157237, +0.088496, -0.213843, +1.729370, +1.288140, +0.971182, +0.896273, +0.944758, +0.894344, +0.363367, +0.544539, +0.386221, +0.235318, +0.332084, +0.020273, +0.023865, +0.051671, +0.011708, +0.304437, +0.229049]
frame=041 t= 2.050s reward=+1.036972 done=0 jointpos=[+0.256224, -0.170611, +0.051401, -0.240026, +1.731768, +1.362495, +0.950255, +0.882325, +0.936088, +0.903975, +0.383099, +0.572571, +0.366374, +0.215645, +0.318798, +0.000000, +0.051745, +0.086533, +0.022467, +0.357198, +0.201907]
frame=042 t= 2.100s reward=+1.003866 done=0 jointpos=[+0.260047, -0.178526, +0.005933, -0.243686, +1.731788, +1.346380, +0.957891, +0.884553, +0.929805, +0.931417, +0.349609, +0.587432, +0.331393, +0.236376, +0.288888, +0.000000, +0.093305, +0.119827, +0.065814, +0.402258, +0.193034]
frame=043 t= 2.150s reward=+1.067423 done=0 jointpos=[+0.261800, -0.187263, -0.035830, -0.221302, +1.733258, +1.323027, +0.981595, +0.883904, +0.902040, +0.973385, +0.309785, +0.592415, +0.304977, +0.265875, +0.281000, +0.000205, +0.072123, +0.128350, +0.107549, +0.399743, +0.203483]
frame=044 t= 2.200s reward=+1.076816 done=0 jointpos=[+0.261740, -0.200019, -0.030149, -0.175029, +1.733367, +1.326303, +1.008311, +0.894478, +0.878200, +1.005175, +0.276824, +0.598888, +0.292018, +0.308127, +0.287310, +0.003607, +0.052453, +0.155059, +0.149069, +0.367790, +0.180378]
frame=045 t= 2.250s reward=+1.056035 done=0 jointpos=[+0.261800, -0.214399, +0.019880, -0.175975, +1.733755, +1.325256, +1.029596, +0.923324, +0.865756, +1.035005, +0.260612, +0.615225, +0.266680, +0.342031, +0.282780, +0.031376, +0.049234, +0.159280, +0.190467, +0.351250, +0.168710]
frame=046 t= 2.300s reward=+0.902515 done=0 jointpos=[+0.261800, -0.217840, +0.078880, -0.207805, +1.731372, +1.305274, +1.051724, +0.946721, +0.864874, +1.062159, +0.261296, +0.625507, +0.243611, +0.362474, +0.280094, +0.051442, +0.028193, +0.147864, +0.187693, +0.346639, +0.166244]
frame=047 t= 2.350s reward=+0.456000 done=0 jointpos=[+0.261800, -0.219277, +0.115937, -0.234882, +1.727652, +1.290087, +1.075538, +0.952496, +0.869774, +1.077606, +0.268078, +0.617121, +0.240184, +0.375002, +0.282972, +0.077558, +0.010172, +0.175873, +0.184360, +0.337420, +0.152314]
frame=048 t= 2.400s reward=+0.730908 done=0 jointpos=[+0.261800, -0.217037, +0.113579, -0.246538, +1.723550, +1.277446, +1.088351, +0.957563, +0.867858, +1.065861, +0.280981, +0.603305, +0.243772, +0.386249, +0.283856, +0.102484, +0.005210, +0.147561, +0.198169, +0.330351, +0.165696]
frame=049 t= 2.450s reward=+1.083480 done=0 jointpos=[+0.261800, -0.207838, +0.097162, -0.252237, +1.723715, +1.251264, +1.100274, +0.962040, +0.864759, +1.017397, +0.303788, +0.604703, +0.227937, +0.398090, +0.300351, +0.115861, +0.001336, +0.139622, +0.202788, +0.316981, +0.177511]
frame=050 t= 2.500s reward=+1.041798 done=0 jointpos=[+0.261800, -0.184762, +0.079157, -0.249908, +1.722645, +1.211626, +1.110592, +0.966714, +0.870850, +0.958795, +0.338008, +0.603456, +0.198984, +0.389965, +0.321856, +0.122433, +0.000873, +0.130687, +0.195274, +0.311151, +0.187769]
frame=051 t= 2.550s reward=+0.229624 done=0 jointpos=[+0.261800, -0.165849, +0.076150, -0.245460, +1.723585, +1.177466, +1.116642, +0.972441, +0.881270, +0.923627, +0.377611, +0.585294, +0.170813, +0.369244, +0.346818, +0.118891, +0.000226, +0.122815, +0.188403, +0.294959, +0.196312]
frame=052 t= 2.600s reward=+1.037821 done=0 jointpos=[+0.261800, -0.147307, +0.080630, -0.240460, +1.724717, +1.147169, +1.116557, +0.967521, +0.895702, +0.892609, +0.416293, +0.563817, +0.161374, +0.335382, +0.369850, +0.103060, +0.002172, +0.123468, +0.179770, +0.298614, +0.192186]
