# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=043 t= 2.150s reward=+1.067423 done=0 raw_action=[-0.044126, +0.222339, +0.740873, +0.816798, +1.000000, -0.315284, +1.000000, -1.000000, -1.000000, +0.581616, -1.000000, +0.757891, -1.000000, +0.641178, -0.683171, -1.000000, -0.427795, +0.156130, +1.000000, -0.461733, +0.231735]
frame=044 t= 2.200s reward=+1.076816 done=0 raw_action=[-0.435227, -0.622511, +1.000000, +0.660065, +0.739495, +0.013701, +1.000000, +0.383160, -0.102621, +0.720571, -0.622706, +0.813320, -0.693594, +1.000000, -0.014556, +0.080033, -0.471280, +0.674836, +1.000000, -1.000000, -0.557488]
frame=045 t= 2.250s reward=+1.056035 done=0 raw_action=[-0.312638, -0.259891, +1.000000, -0.331413, +0.884017, +0.086331, +1.000000, +0.554748, +0.891912, +0.936035, -0.211829, +0.570102, -0.703364, +0.885817, +0.088588, +0.661497, -0.092565, +0.096436, +1.000000, -0.191290, -0.273151]
frame=046 t= 2.300s reward=+0.902515 done=0 raw_action=[+0.494997, +0.217974, +1.000000, -0.550766, +1.000000, +0.170042, +1.000000, -0.160639, +0.395318, +0.215645, +0.178654, +0.128943, -0.607578, +0.497593, +0.058610, +0.485522, -0.498537, -0.297082, +0.002631, -0.049160, -0.063269]
frame=047 t= 2.350s reward=+0.456000 done=0 raw_action=[-0.372135, +0.526576, +0.438705, -0.519383, +1.000000, +0.016191, +1.000000, -0.065777, +0.302239, -0.379930, +0.202836, -0.482251, -0.141611, +0.334924, +0.020972, +0.629760, -0.451656, +0.686455, -0.078610, -0.290840, -0.330561]
frame=048 t= 2.400s reward=+0.730908 done=0 raw_action=[+0.080503, +0.496191, -0.580965, -1.000000, +0.966620, -0.293331, +1.000000, +0.255736, +0.030772, -0.754418, +0.474591, -0.473502, -0.523732, +0.422381, +0.472534, +0.601131, -0.170767, -0.703991, +0.318176, +0.152749, +0.343609]
frame=049 t= 2.450s reward=+1.083480 done=0 raw_action=[-0.115918, +0.692616, -0.809756, -1.000000, +0.949457, -0.203610, +0.564117, +0.611518, -0.044131, -1.000000, +0.750166, -0.332096, -0.457663, +0.244824, +0.794556, +0.326636, -0.334932, -0.214461, +0.126598, -0.148340, +0.299935]
frame=050 t= 2.500s reward=+1.041798 done=0 raw_action=[+0.266410, +0.595413, -0.352568, -1.000000, +1.000000, -0.541037, +0.044662, +0.592964, -0.392062, -1.000000, +1.000000, -0.170130, -0.469815, -0.523522, +0.946562, +0.166060, -0.111124, -0.211935, -0.172870, +0.103809, +0.259250]
frame=051 t= 2.550s reward=+0.229624 done=0 raw_action=[+0.074699, +0.670276, +0.374596, -0.893603, +1.000000, -0.377830, -0.123187, +0.279958, +0.174380, -1.000000, +1.000000, -0.633674, -0.046673, -0.437534, +0.539223, -0.085028, -0.548764, -0.180231, -0.165031, -0.497336, +0.198654]
frame=052 t= 2.600s reward=+1.037821 done=0 raw_action=[+0.520594, +0.454968, +0.976679, -0.430985, +1.000000, -0.847538, +0.312866, -0.118251, -0.189875, -1.000000, +1.000000, -0.318685, +0.156325, -1.000000, +0.536441, -0.375319, +0.031280, +0.030116, -0.215101, +0.199532, -0.094156]
